index,LSH_Distance,KD_Distance,Difference
227,638.484,608.283,30.201
228,605.179,570.860,34.319
229,672.565,616.206,56.359
230,650.528,580.088,70.440
231,610.949,576.252,34.698
232,589.288,567.617,21.671
233,632.910,586.589,46.321
234,639.043,602.750,36.292
235,640.811,598.462,42.349
236,600.986,563.682,37.304
237,625.221,564.474,60.747
238,602.857,545.078,57.780
239,634.912,567.402,67.509
240,617.461,556.006,61.455
241,659.393,604.493,54.900
242,622.072,599.525,22.547
243,630.507,554.975,75.532
244,682.106,605.484,76.622
245,664.374,583.223,81.152
246,608.545,563.119,45.427
247,625.701,568.409,57.292
248,625.936,561.772,64.165
249,627.885,607.104,20.782
250,617.638,576.309,41.329
251,576.654,541.224,35.430
252,634.843,552.227,82.616
253,607.093,552.133,54.960
254,645.888,592.743,53.144
255,649.549,570.491,79.058
256,646.472,581.938,64.534
257,603.928,583.723,20.205
258,683.983,592.897,91.085
259,603.119,538.193,64.926
260,661.317,576.723,84.594
261,625.194,578.005,47.189
262,658.848,594.089,64.759
263,638.594,560.902,77.693
264,621.958,584.585,37.373
265,614.617,576.132,38.486
266,609.897,572.170,37.727
267,605.068,555.974,49.094
268,641.109,538.763,102.346
269,601.816,559.535,42.281
270,670.689,615.094,55.595
271,627.970,585.934,42.036
272,616.924,569.886,47.038
273,646.171,583.849,62.322
274,650.354,571.873,78.481
275,600.085,560.427,39.658
276,645.477,561.648,83.829
277,634.022,552.190,81.832
278,599.684,578.690,20.994
279,600.244,594.735,5.509
280,645.400,557.025,88.375
281,634.123,582.721,51.402
282,597.540,564.315,33.225
283,651.068,603.063,48.005
284,640.396,591.299,49.097
285,618.545,570.694,47.851
286,620.421,564.762,55.659
287,678.623,602.793,75.830
288,596.811,555.292,41.519
289,664.356,556.021,108.335
290,628.211,578.359,49.852
291,634.016,572.185,61.831
292,667.396,592.274,75.123
293,636.201,571.519,64.681
294,613.497,546.660,66.837
295,696.482,603.598,92.883
296,649.728,568.860,80.868
297,595.824,551.869,43.955
298,640.430,570.385,70.045
299,643.517,574.047,69.470
300,636.521,584.962,51.559
301,633.726,550.697,83.028
302,618.968,566.930,52.038
303,650.885,598.716,52.169
304,683.356,628.782,54.574
305,650.842,582.912,67.930
306,642.488,561.843,80.645
307,601.763,560.937,40.826
308,598.562,545.158,53.404
309,613.073,574.433,38.640
310,679.341,599.765,79.576
311,636.168,564.497,71.671
312,653.646,585.169,68.477
313,616.800,570.329,46.471
314,653.480,595.560,57.920
315,645.825,577.044,68.780
316,607.361,570.946,36.415
317,642.300,583.915,58.385
318,627.697,568.173,59.525
319,643.152,568.690,74.462
320,624.514,566.973,57.541
321,619.740,546.052,73.687
322,637.588,583.960,53.629
323,619.818,575.558,44.260
324,629.951,576.331,53.620
325,623.349,560.644,62.705
326,614.737,581.033,33.705
327,585.643,554.321,31.322
328,641.476,571.546,69.930
329,656.270,565.164,91.106
330,612.347,554.773,57.574
331,637.728,579.226,58.501
332,578.384,578.384,0.000
333,631.598,584.022,47.576
334,583.414,583.414,0.000
335,606.770,553.760,53.010
336,617.489,573.804,43.685
337,612.216,572.381,39.835
338,637.681,579.067,58.614
339,637.247,565.940,71.307
340,637.284,583.091,54.193
341,700.449,590.617,109.832
342,621.123,573.865,47.257
343,640.315,588.379,51.937
344,624.043,568.350,55.693
345,638.231,588.566,49.665
346,644.764,606.146,38.619
347,624.827,543.260,81.567
348,623.032,592.926,30.106
349,659.688,578.594,81.095
350,675.920,604.033,71.888
351,656.476,573.889,82.587
352,634.723,573.551,61.172
353,624.177,563.064,61.113
354,614.248,538.483,75.765
355,625.382,585.534,39.848
356,685.974,622.322,63.652
357,628.459,566.296,62.163
358,631.032,560.284,70.748
359,640.313,614.386,25.926
360,639.674,593.115,46.559
361,635.091,580.020,55.071
362,651.234,557.283,93.951
363,633.498,596.066,37.433
364,607.596,536.002,71.595
365,611.048,589.387,21.661
366,645.915,589.187,56.727
367,632.013,577.107,54.905
368,638.617,578.322,60.295
369,643.605,592.397,51.208
370,636.235,582.508,53.727
371,631.786,591.452,40.334
372,653.278,582.131,71.147
373,574.156,553.576,20.579
374,644.517,601.652,42.865
375,667.512,584.054,83.459
376,654.838,616.487,38.351
377,629.195,583.098,46.097
378,620.195,562.137,58.059
379,647.740,604.002,43.739
380,639.870,528.928,110.942
381,665.264,545.974,119.290
382,649.967,559.749,90.218
383,633.374,573.456,59.918
384,602.114,581.359,20.754
385,590.371,547.765,42.606
386,618.663,573.383,45.280
387,608.916,573.751,35.165
388,656.185,578.044,78.141
389,638.551,577.252,61.299
390,604.205,559.865,44.340
391,658.108,581.429,76.679
392,658.443,587.834,70.609
393,594.934,548.368,46.565
394,636.210,590.358,45.852
395,655.070,586.157,68.913
396,644.743,591.548,53.195
397,641.459,577.445,64.014
398,661.320,580.494,80.826
399,618.942,569.689,49.253
400,625.786,569.119,56.667
401,659.409,601.152,58.258
402,635.132,576.157,58.975
403,659.537,581.647,77.891
404,663.847,613.484,50.363
405,633.089,560.124,72.965
406,625.306,568.953,56.353
407,651.513,604.016,47.497
408,638.165,584.816,53.349
409,686.055,586.103,99.952
410,625.220,595.991,29.229
411,621.264,573.599,47.666
412,611.038,558.349,52.689
413,628.331,567.872,60.459
414,638.551,590.878,47.674
415,656.649,588.127,68.521
416,633.521,557.747,75.775
417,620.849,572.793,48.056
418,585.144,562.110,23.034
419,594.129,540.764,53.365
420,631.591,580.636,50.955
421,661.835,595.434,66.401
422,607.047,513.055,93.992
423,615.473,551.958,63.515
424,633.222,570.707,62.515
425,597.306,558.640,38.666
426,595.550,550.280,45.270
427,618.899,580.531,38.369
428,593.575,566.631,26.944
429,643.309,584.680,58.629
430,611.950,567.686,44.264
431,627.790,576.518,51.272
432,631.575,555.080,76.496
433,641.604,572.611,68.993
434,624.974,579.745,45.229
435,602.023,554.191,47.831
436,640.832,573.080,67.752
437,596.953,589.287,7.666
438,618.632,562.716,55.916
439,636.189,565.071,71.119
440,640.351,588.905,51.446
441,670.576,582.057,88.519
442,667.053,600.663,66.389
443,616.406,562.077,54.329
444,636.452,507.895,128.556
445,602.852,557.112,45.740
446,600.986,588.199,12.787
447,656.758,618.731,38.027
448,616.861,563.173,53.689
449,604.709,573.517,31.192
450,638.979,586.816,52.163
451,617.663,567.518,50.146
452,634.887,595.527,39.360
453,588.833,564.264,24.569
454,635.907,567.467,68.440
455,702.315,588.788,113.527
456,616.233,564.674,51.560
457,585.438,574.778,10.660
458,631.965,574.382,57.583
459,629.622,567.352,62.270
460,644.539,579.306,65.233
461,654.044,563.418,90.626
462,593.230,546.837,46.394
463,629.405,574.819,54.585
464,604.714,564.537,40.177
465,637.190,574.504,62.686
466,629.476,596.107,33.369
467,617.357,608.175,9.182
468,598.331,570.300,28.031
469,591.354,505.586,85.768
470,660.435,603.865,56.570
471,654.355,575.622,78.733
472,653.826,562.958,90.868
473,636.142,556.982,79.159
474,672.523,614.439,58.084
475,583.180,544.038,39.141
476,625.956,556.447,69.509
477,624.812,543.335,81.477
478,632.003,574.396,57.607
479,656.032,554.207,101.825
480,660.312,619.864,40.448
481,618.226,577.542,40.684
482,632.186,557.635,74.551
483,601.317,562.819,38.498
484,681.498,622.563,58.935
485,637.307,565.298,72.009
486,673.023,588.975,84.047
487,597.596,549.786,47.810
488,600.620,566.219,34.401
489,655.810,578.518,77.292
490,664.029,595.545,68.484
491,588.482,533.820,54.662
492,647.546,590.623,56.922
493,623.545,576.069,47.476
494,648.382,559.602,88.780
495,645.727,594.821,50.906
496,653.872,595.314,58.557
497,640.855,566.373,74.482
498,661.274,586.718,74.556
499,643.287,579.320,63.967
500,629.147,585.379,43.768
501,647.171,564.049,83.121
502,622.886,548.881,74.005
503,655.655,594.660,60.996
504,613.922,566.525,47.397
505,639.904,575.781,64.122
506,660.255,592.929,67.326
507,623.254,588.925,34.330
508,626.778,569.907,56.871
509,619.985,573.396,46.589
510,619.680,584.012,35.668
511,610.332,564.391,45.941
512,642.914,569.749,73.165
513,605.738,557.942,47.796
514,607.194,565.422,41.772
515,659.296,604.847,54.449
516,601.764,559.910,41.854
517,619.416,581.019,38.397
518,641.921,585.795,56.125
519,678.857,619.897,58.960
520,658.336,603.414,54.922
521,632.518,596.950,35.568
522,609.266,579.108,30.158
523,621.348,557.782,63.566
524,683.999,578.771,105.228
525,628.507,574.100,54.407
526,615.880,565.469,50.410
527,640.197,606.994,33.203
528,640.923,577.146,63.777
529,637.438,583.124,54.315
530,687.270,592.916,94.354
531,614.701,547.798,66.903
532,653.528,602.842,50.686
533,647.360,579.431,67.929
534,651.017,602.220,48.797
535,647.558,593.727,53.831
536,651.200,591.956,59.244
537,591.820,559.861,31.959
538,616.263,564.661,51.602
539,637.512,578.935,58.577
540,613.051,556.677,56.373
541,661.269,590.778,70.492
542,667.036,619.200,47.836
543,657.616,594.549,63.066
544,652.921,582.938,69.984
545,619.358,590.434,28.924
546,614.845,583.637,31.208
547,636.828,581.878,54.950
548,665.610,592.983,72.627
549,612.411,580.074,32.337
550,632.081,577.861,54.220
551,617.545,585.279,32.266
552,623.484,552.423,71.061
553,610.686,572.165,38.521
554,651.296,589.899,61.397
555,657.597,559.688,97.910
556,628.984,583.397,45.588
557,599.335,572.310,27.024
558,608.471,547.488,60.982
559,617.671,557.008,60.663
560,639.036,564.880,74.157
561,635.183,578.774,56.409
562,592.230,590.774,1.456
563,644.553,574.064,70.488
564,664.357,589.068,75.289
565,618.275,565.501,52.775
566,642.426,565.510,76.917
567,617.913,553.696,64.218
568,630.263,552.322,77.941
569,621.616,541.330,80.287
570,658.857,581.154,77.704
571,592.383,550.292,42.091
572,603.462,564.010,39.452
573,628.065,573.852,54.213
574,633.893,583.253,50.640
575,630.083,548.507,81.575
576,635.026,578.447,56.578
577,654.164,576.064,78.100
578,631.096,582.679,48.416
579,599.538,570.692,28.846
580,617.731,573.240,44.491
581,640.923,582.458,58.465
582,604.161,560.620,43.541
583,633.955,545.075,88.880
584,594.946,557.543,37.403
585,658.274,602.884,55.390
586,671.053,566.817,104.236
587,639.305,576.616,62.690
588,559.910,550.164,9.746
589,677.097,596.748,80.348
590,641.845,583.002,58.843
591,615.474,552.093,63.381
592,623.860,563.561,60.299
593,577.268,539.450,37.818
594,617.225,553.498,63.727
595,614.825,574.517,40.308
596,661.763,591.862,69.900
597,596.288,561.343,34.945
598,601.923,578.044,23.879
599,639.856,567.465,72.391
600,636.483,579.402,57.081
601,598.095,561.410,36.685
602,664.850,588.953,75.897
603,665.256,606.680,58.575
604,607.303,561.006,46.297
605,629.337,589.086,40.251
606,641.317,573.983,67.334
607,621.554,586.064,35.490
608,620.404,587.281,33.123
609,638.782,562.834,75.947
610,632.218,560.625,71.593
