index,LSH_Distance,KD_Distance,KDANN_Distance,Difference_1,Percentage_1,Difference_2,Percentage_2,Difference_3,Percentage_3
83,746.034,624.172,746.347,121.861,19.524,122.175,19.574,0.000,0.000
84,702.165,627.834,692.200,74.331,11.839,64.367,10.252,0.000,0.000
85,679.596,582.911,612.713,96.685,16.586,29.801,5.113,6.913,1.186
86,716.741,628.035,688.657,88.705,14.124,60.622,9.653,13.295,2.117
87,690.218,636.451,721.998,53.766,8.448,85.546,13.441,0.000,0.000
88,672.468,624.903,708.978,47.565,7.612,84.075,13.454,0.000,0.000
89,712.112,606.213,715.949,105.899,17.469,109.736,18.102,31.518,5.199
90,683.707,651.732,783.916,31.975,4.906,132.184,20.282,0.000,0.000
91,645.892,598.393,702.416,47.498,7.938,104.023,17.384,26.639,4.452
92,698.623,642.963,738.097,55.660,8.657,95.134,14.796,0.000,0.000
93,710.890,646.095,724.217,64.794,10.029,78.122,12.091,5.088,0.787
94,707.737,601.279,732.698,106.457,17.705,131.419,21.857,32.022,5.326
95,735.824,605.470,698.552,130.354,21.529,93.082,15.373,14.998,2.477
96,663.031,592.777,680.601,70.254,11.852,87.824,14.816,9.288,1.567
97,731.881,635.549,700.210,96.332,15.157,64.661,10.174,0.000,0.000
98,684.491,590.451,590.451,94.040,15.927,0.000,0.000,24.713,4.185
99,640.498,606.476,657.177,34.022,5.610,50.701,8.360,0.128,0.021
